transaction_id,merchant_id,payment_method,amount_inr,hour_of_day,merchant_txn_count_7d,merchant_avg_amount_7d,device_risk_score,is_new_merchant,is_fraud
txn_000073,merch_0003,wallet,8134.88,17,29,5966.3,0.3548,0,0
txn_000074,merch_0098,upi,1147.76,0,26,993.39,0.3697,0,0
txn_000075,merch_0140,upi,1784.93,14,10,1418.51,0.1785,0,0
txn_000076,merch_0038,upi,143.28,17,25,243.36,0.2088,0,0
txn_000077,merch_0014,card,184.64,18,20,127.84,0.374,0,0
txn_000078,merch_0118,wallet,4098.62,9,18,4721.39,0.0904,1,0
txn_000079,merch_0028,card,1050.27,10,22,491.02,0.2457,0,0
txn_000080,merch_0156,netbanking,4851.17,22,20,11058.81,0.4646,0,0
txn_000081,merch_0074,upi,84.4,18,27,52.6,0.0451,0,0
txn_000082,merch_0115,card,1489.52,9,17,1724.26,0.0914,1,0
txn_000083,merch_0031,card,11271.58,8,30,10848.77,0.0128,0,0
txn_000084,merch_0129,card,465.52,14,24,516.35,0.166,0,0
txn_000085,merch_0174,upi,317.54,12,21,1450.6,0.2161,1,0
txn_000086,merch_0083,card,437.04,12,18,535.19,0.1728,0,0
txn_000087,merch_0021,card,673.88,17,28,829.99,0.1828,0,0
txn_000088,merch_0026,netbanking,301.08,14,26,263.51,0.1346,0,0
txn_000089,merch_0194,card,2084.86,20,17,1397.65,0.181,0,0
txn_000090,merch_0080,upi,916.73,9,5,859.13,0.4125,1,0
txn_000091,merch_0125,card,16584.39,11,23,14877.2,0.0443,1,0
txn_000092,merch_0183,upi,2309.86,11,45,2113.57,0.0302,0,0
txn_000093,merch_0091,netbanking,683.93,14,15,2996.1,0.2649,0,0
txn_000094,merch_0020,card,2129.77,9,19,7064.9,0.1735,0,0
txn_000095,merch_0046,upi,151.43,17,20,536.87,0.0717,0,0
txn_000096,merch_0100,wallet,158.55,14,6,197.76,0.0524,0,0
txn_000097,merch_0186,card,10.0,18,18,2156.42,0.088,1,0
txn_000098,merch_0083,upi,390.69,0,16,574.31,0.0583,0,0
txn_000099,merch_0005,card,367.25,15,26,891.53,0.1744,0,0
txn_000100,merch_0146,upi,299.33,16,10,241.32,0.0088,0,0
txn_000101,merch_0184,netbanking,978.22,6,30,926.99,0.0664,0,0
txn_000102,merch_0196,netbanking,340.02,0,28,436.56,0.1346,0,0
txn_000103,merch_0130,wallet,10.0,12,18,190.96,0.0159,0,0
txn_000104,merch_0000,card,1837.01,14,38,1725.07,0.0374,1,0
txn_000105,merch_0057,card,873.65,0,25,676.84,0.1145,0,0
txn_000106,merch_0123,netbanking,297.13,18,30,206.49,0.1489,1,0
txn_000107,merch_0165,upi,3267.74,15,21,2048.85,0.0753,1,0
txn_000108,merch_0014,card,186.28,16,29,134.5,0.25,0,0
txn_000109,merch_0161,card,3092.65,16,21,2631.4,0.1853,0,0
txn_000110,merch_0188,upi,334.1,1,19,452.34,0.2759,0,0
txn_000111,merch_0162,upi,2576.32,9,24,4680.06,0.1376,0,0
txn_000112,merch_0063,netbanking,470.24,19,22,282.18,0.0086,0,0
txn_000113,merch_0024,netbanking,619.92,21,19,503.99,0.0712,1,0
txn_000114,merch_0023,upi,238.75,15,24,184.27,0.0384,0,0
txn_000115,merch_0011,upi,412.05,16,50,627.79,0.2897,0,0
txn_000116,merch_0017,upi,973.09,12,23,1712.36,0.2912,0,0
txn_000117,merch_0014,netbanking,121.25,22,40,132.05,0.0626,0,0
txn_000118,merch_0026,upi,233.28,9,31,251.11,0.1754,0,0
txn_000119,merch_0071,card,7581.79,15,15,6813.15,0.0714,0,0
txn_000120,merch_0059,upi,2726.91,16,18,3455.36,0.2012,0,0
txn_000121,merch_0173,card,1666.5,10,27,1836.18,0.1999,0,0
txn_000122,merch_0144,upi,2553.76,10,36,1692.89,0.8242,0,0
txn_000123,merch_0092,netbanking,12.66,9,15,425.34,0.0919,0,0
txn_000124,merch_0052,upi,10.0,9,14,454.52,0.0251,1,0
txn_000125,merch_0007,card,4089.68,12,21,2990.65,0.1798,0,0
txn_000126,merch_0078,upi,651.58,2,17,1130.65,0.0103,0,0
txn_000127,merch_0026,card,222.51,13,26,256.1,0.216,0,0
txn_000128,merch_0173,netbanking,2019.24,4,20,1738.92,0.2838,0,0
txn_000129,merch_0049,upi,128.71,14,33,132.63,0.0146,1,0
txn_000130,merch_0198,netbanking,1127.57,12,28,1247.8,0.0479,1,0
txn_000131,merch_0130,card,177.78,13,12,148.71,0.0604,0,0
txn_000132,merch_0092,upi,1164.22,15,31,472.86,0.0626,0,0
txn_000133,merch_0191,upi,6071.96,16,25,3223.53,0.0424,0,1
txn_000134,merch_0171,upi,283.74,15,22,408.84,0.1534,0,0
txn_000135,merch_0180,card,3660.01,12,19,2064.01,0.0267,0,0
txn_000136,merch_0023,netbanking,230.75,4,176,176.61,0.167,0,0
txn_000137,merch_0059,upi,3514.25,17,23,3629.0,0.0906,0,0
txn_000138,merch_0121,card,258.98,4,28,328.92,0.1563,0,0
txn_000139,merch_0130,netbanking,215.45,11,16,160.54,0.0648,0,0
txn_000140,merch_0147,wallet,188.56,18,35,220.89,0.178,0,0
txn_000141,merch_0045,card,374.97,14,11,475.23,0.0703,0,0
txn_000142,merch_0014,wallet,105.55,17,25,128.65,0.0601,0,0
txn_000143,merch_0152,card,662.92,16,21,471.13,0.2455,0,0
txn_000144,merch_0198,upi,668.98,19,35,1129.34,0.3099,1,0
txn_000145,merch_0016,netbanking,206.71,9,102,285.94,0.276,0,0
txn_000146,merch_0125,card,20395.17,9,19,16576.79,0.1665,1,0
txn_000147,merch_0083,card,547.34,11,23,631.61,0.0372,0,0
txn_000148,merch_0008,card,589.85,10,29,677.51,0.1135,0,0
txn_000149,merch_0165,netbanking,2664.46,13,39,1609.23,0.8508,1,0
txn_000150,merch_0175,netbanking,4214.01,13,29,2974.61,0.0338,0,0
txn_000151,merch_0187,upi,10.0,3,30,953.69,0.0424,0,0
txn_000152,merch_0062,upi,269.12,15,24,277.52,0.2335,0,0
txn_000153,merch_0116,card,435.82,19,28,914.87,0.0454,0,0
txn_000154,merch_0129,card,513.68,10,15,679.5,0.2878,0,0
txn_000155,merch_0087,upi,1623.65,18,25,1841.63,0.1337,0,0
txn_000156,merch_0071,netbanking,5764.05,9,13,6753.08,0.0384,0,0
txn_000157,merch_0138,card,1317.57,20,22,3220.42,0.1319,1,0
txn_000158,merch_0063,upi,94.94,18,36,247.71,0.0283,0,0
txn_000159,merch_0071,upi,9364.76,19,11,7067.85,0.0838,0,0
txn_000160,merch_0020,upi,10277.44,0,23,6833.5,0.3252,0,0
txn_000161,merch_0017,wallet,559.74,20,40,1610.0,0.1449,0,0
txn_000162,merch_0063,upi,210.44,16,19,234.68,0.0261,0,0
txn_000163,merch_0081,upi,2345.27,21,29,1622.25,0.2301,0,0
txn_000164,merch_0109,card,990.29,21,34,1080.99,0.0615,0,0
txn_000165,merch_0094,upi,227.76,11,19,742.76,0.2942,0,0
txn_000166,merch_0165,upi,1399.58,2,33,1712.12,0.1986,1,0
txn_000167,merch_0031,upi,11680.02,9,25,10247.65,0.1899,0,0
txn_000168,merch_0010,card,532.44,12,28,573.6,0.1063,1,0
txn_000169,merch_0044,card,181.17,17,14,172.12,0.1269,0,0
txn_000170,merch_0032,upi,1071.12,4,26,964.04,0.4337,0,0
txn_000171,merch_0101,upi,455.39,14,21,649.65,0.0879,0,0
txn_000172,merch_0168,wallet,1091.62,9,15,870.8,0.1195,0,0
txn_000173,merch_0135,upi,5856.78,11,17,7845.22,0.2132,0,0
txn_000174,merch_0010,upi,313.28,7,140,637.29,0.121,1,0
txn_000175,merch_0178,upi,1588.78,21,17,834.65,0.1206,1,0
txn_000176,merch_0087,card,1588.12,2,22,1513.2,0.0803,0,0
txn_000177,merch_0040,netbanking,200.99,3,33,2422.44,0.0063,0,0
txn_000178,merch_0144,upi,2622.82,11,190,1451.09,0.0256,0,1
txn_000179,merch_0075,card,4813.01,16,135,2992.31,0.2781,0,1
txn_000180,merch_0120,upi,3527.61,1,22,2436.93,0.1321,0,0
txn_000181,merch_0045,upi,607.6,19,25,405.72,0.0801,0,0
txn_000182,merch_0159,netbanking,4175.74,19,25,2505.75,0.1677,1,0
txn_000183,merch_0079,upi,62.62,16,13,91.87,0.0365,0,0
txn_000184,merch_0053,card,2379.68,16,132,2252.78,0.0974,0,0
txn_000185,merch_0085,upi,1174.03,13,23,679.23,0.3509,0,0
txn_000186,merch_0091,netbanking,7015.26,21,20,3887.94,0.0991,0,0
txn_000187,merch_0147,upi,181.43,19,31,195.42,0.1242,0,0
txn_000188,merch_0160,netbanking,728.31,22,18,295.41,0.0687,0,0
txn_000189,merch_0167,upi,14302.35,18,33,9543.6,0.2661,0,0
txn_000190,merch_0159,netbanking,3632.8,1,24,2133.69,0.1497,1,0
txn_000191,merch_0096,upi,2203.06,9,26,1448.99,0.2098,1,0
txn_000192,merch_0001,card,1065.45,19,19,893.32,0.0434,0,0
txn_000193,merch_0032,upi,1988.84,9,23,944.01,0.1164,0,0
txn_000194,merch_0157,wallet,1359.89,11,15,1913.49,0.2646,0,0
txn_000195,merch_0160,upi,707.49,18,22,343.54,0.1377,0,0
txn_000196,merch_0076,upi,2225.76,11,24,1276.4,0.0969,0,0
txn_000197,merch_0115,card,2494.16,1,23,1530.51,0.1378,1,0
txn_000198,merch_0153,upi,1401.18,16,23,1360.38,0.0486,0,0
txn_000199,merch_0149,upi,1698.68,18,19,1633.43,0.1007,0,0
txn_000200,merch_0102,wallet,235.31,20,22,816.53,0.8216,0,0
txn_000201,merch_0193,wallet,189.84,17,22,238.31,0.0542,0,0
txn_000202,merch_0165,upi,2319.35,3,34,1688.11,0.122,1,0
txn_000203,merch_0102,wallet,176.74,17,25,774.34,0.0415,0,0
txn_000204,merch_0089,card,1844.95,0,23,2260.05,0.0219,0,0
txn_000205,merch_0173,upi,2827.07,10,21,1879.2,0.0597,0,0
txn_000206,merch_0121,card,349.66,10,33,337.32,0.1569,0,0
txn_000207,merch_0142,card,252.41,7,23,149.91,0.0855,1,0
txn_000208,merch_0105,wallet,2306.78,15,38,1997.71,0.3113,0,0
txn_000209,merch_0118,upi,3835.65,11,23,4023.42,0.3558,1,0
txn_000210,merch_0171,card,383.33,8,24,392.92,0.1028,0,0
txn_000211,merch_0048,upi,1759.92,2,239,1725.6,0.1032,0,1
txn_000212,merch_0103,upi,53.45,18,28,427.31,0.4805,0,0
txn_000213,merch_0060,upi,914.64,12,32,687.02,0.2458,0,0
txn_000214,merch_0194,wallet,1272.34,10,18,1395.24,0.0377,0,0
txn_000215,merch_0122,netbanking,8369.15,3,22,5884.11,0.2329,1,0
txn_000216,merch_0133,netbanking,2276.91,16,21,1688.43,0.1022,0,0
txn_000217,merch_0008,card,576.61,15,19,713.27,0.1306,0,0
txn_000218,merch_0005,upi,894.54,19,26,808.72,0.1528,0,0
txn_000219,merch_0072,upi,1128.37,16,12,1073.36,0.038,1,0
txn_000220,merch_0102,upi,1296.07,1,174,727.31,0.0841,0,1
txn_000221,merch_0159,upi,2462.35,14,26,2583.29,0.0294,1,0
txn_000222,merch_0040,netbanking,2932.76,19,48,2777.09,0.2196,0,0
txn_000223,merch_0113,card,12954.72,16,24,20081.24,0.1021,0,0
txn_000224,merch_0007,upi,2703.89,19,23,2770.87,0.0916,0,0
txn_000225,merch_0071,upi,11780.21,4,21,7623.28,0.0551,0,0
txn_000226,merch_0177,upi,7481.31,18,25,6525.66,0.0633,0,0
txn_000227,merch_0091,upi,1767.84,12,15,3984.71,0.3037,0,0
txn_000228,merch_0061,wallet,544.98,21,37,944.48,0.1993,1,0
txn_000229,merch_0083,card,375.84,9,25,586.18,0.2063,0,0
txn_000230,merch_0061,netbanking,1219.06,17,38,958.45,0.0697,1,0
txn_000231,merch_0110,card,147.05,3,17,107.77,0.0297,0,0
txn_000232,merch_0126,upi,10.0,14,34,305.33,0.1503,0,0
txn_000233,merch_0006,upi,6989.59,16,38,7579.71,0.0936,0,0
txn_000234,merch_0083,netbanking,631.19,16,26,562.99,0.1117,0,0
txn_000235,merch_0131,netbanking,623.72,18,25,1020.95,0.1909,0,0
txn_000236,merch_0133,upi,1592.83,12,9,1769.81,0.1406,0,0
txn_000237,merch_0057,card,1230.43,18,31,681.11,0.1477,0,0
txn_000238,merch_0021,card,1018.03,19,42,910.35,0.3626,0,0
txn_000239,merch_0153,card,1115.3,15,27,1547.67,0.1608,0,0
txn_000240,merch_0126,wallet,303.78,13,34,345.55,0.4504,0,0
txn_000241,merch_0002,card,2182.55,3,25,2696.5,0.9724,0,0
txn_000242,merch_0126,card,379.66,20,38,301.81,0.0733,0,0
txn_000243,merch_0040,upi,1307.95,16,34,2391.42,0.0852,0,0
txn_000244,merch_0187,upi,670.01,14,264,1128.18,0.1589,0,1
txn_000245,merch_0105,upi,2742.06,17,29,1859.35,0.3952,0,0
txn_000246,merch_0013,upi,107.48,14,17,112.3,0.1195,0,0
txn_000247,merch_0011,netbanking,317.42,11,8,672.24,0.2336,0,0
txn_000248,merch_0086,card,2305.55,20,14,3074.02,0.2827,1,0
txn_000249,merch_0011,upi,889.77,0,15,644.96,0.0265,0,0
txn_000250,merch_0140,netbanking,1204.04,14,11,1409.2,0.0066,0,0
txn_000251,merch_0024,upi,721.78,17,32,537.59,0.1274,1,0
txn_000252,merch_0044,upi,122.81,17,20,207.0,0.2694,0,0
txn_000253,merch_0121,upi,232.25,20,22,330.75,0.1663,0,0
txn_000254,merch_0146,upi,274.0,22,14,212.6,0.144,0,0
txn_000255,merch_0054,upi,3590.65,18,23,3619.21,0.0398,0,1
txn_000256,merch_0099,card,1104.4,12,252,752.69,0.4475,1,0
txn_000257,merch_0172,upi,1286.38,14,17,1093.01,0.1217,0,0
txn_000258,merch_0135,wallet,6153.95,10,14,6254.94,0.1465,0,0
txn_000259,merch_0118,upi,4872.75,15,19,4888.83,0.2047,1,1
txn_000260,merch_0052,upi,376.35,16,25,438.18,0.1427,1,0
txn_000261,merch_0182,upi,400.13,12,17,338.79,0.0872,0,0
txn_000262,merch_0031,card,11326.21,22,23,9117.43,0.0343,0,0
txn_000263,merch_0050,upi,1248.15,14,14,1398.51,0.0467,0,0
txn_000264,merch_0043,netbanking,483.13,13,31,761.3,0.154,0,0
txn_000265,merch_0081,card,1926.3,8,216,1610.81,0.1428,0,0
txn_000266,merch_0197,card,2183.63,15,20,1357.5,0.011,1,0
txn_000267,merch_0145,card,3691.74,13,21,2920.58,0.0392,0,0
txn_000268,merch_0149,upi,1054.9,20,22,1770.25,0.0525,0,0
txn_000269,merch_0036,upi,729.97,15,14,1600.37,0.0551,0,0
txn_000270,merch_0095,upi,136.4,1,26,189.1,0.1875,1,0
txn_000271,merch_0055,card,2197.53,4,35,3059.72,0.1289,0,0
txn_000272,merch_0104,upi,203.65,20,20,835.15,0.1471,0,0
txn_000273,merch_0058,upi,2372.81,3,18,1435.95,0.1283,1,0
txn_000274,merch_0130,wallet,125.26,9,21,159.32,0.3322,0,0
txn_000275,merch_0155,upi,567.27,19,24,522.78,0.2272,0,0
txn_000276,merch_0034,netbanking,2563.25,14,27,2823.09,0.2522,1,0
txn_000277,merch_0188,netbanking,391.9,13,20,412.39,0.1272,0,0
txn_000278,merch_0092,upi,284.03,21,27,540.45,0.0027,0,0
txn_000279,merch_0181,upi,387.58,2,22,345.8,0.0121,0,0
txn_000280,merch_0190,upi,355.19,11,24,694.76,0.1413,0,0
txn_000281,merch_0096,card,1547.25,7,36,1658.26,0.1323,1,0
txn_000282,merch_0134,card,559.58,17,10,398.65,0.8731,0,0
txn_000283,merch_0075,netbanking,3719.33,11,29,2620.29,0.9955,0,0
txn_000284,merch_0048,wallet,1837.03,18,35,1657.19,0.0203,0,0
txn_000285,merch_0093,card,213.02,20,30,769.42,0.1216,0,0
txn_000286,merch_0158,upi,319.1,21,40,283.03,0.1489,0,0
txn_000287,merch_0185,upi,3550.61,14,15,2748.03,0.2619,1,0
txn_000288,merch_0188,netbanking,456.09,14,28,405.42,0.1369,0,0
txn_000289,merch_0023,upi,212.12,15,24,196.57,0.0808,0,0
txn_000290,merch_0147,upi,208.23,18,31,254.65,0.9962,0,0
txn_000291,merch_0036,card,1935.31,2,26,1274.49,0.2962,0,0
txn_000292,merch_0003,upi,10791.23,12,17,6215.21,0.0318,0,0
txn_000293,merch_0107,wallet,1501.1,18,28,1194.43,0.1934,1,0
txn_000294,merch_0125,card,8693.52,18,32,13427.02,0.0528,1,0
txn_000295,merch_0019,upi,115.02,17,32,223.95,0.0993,0,0
txn_000296,merch_0187,wallet,1367.95,11,212,1036.97,0.0108,0,0
txn_000297,merch_0151,upi,1073.68,9,19,1878.86,0.1324,0,0
txn_000298,merch_0049,upi,144.08,2,24,147.55,0.1241,1,0
txn_000299,merch_0176,upi,900.12,14,22,1047.22,0.054,1,0
txn_000300,merch_0178,upi,418.07,9,19,832.08,0.2221,1,0
txn_000301,merch_0095,card,253.25,17,23,182.54,0.1781,1,0
txn_000302,merch_0104,upi,1176.0,21,16,1005.64,0.0927,0,0
txn_000303,merch_0163,upi,108.17,15,14,438.38,0.1603,0,0
txn_000304,merch_0116,upi,1262.21,18,26,933.08,0.2643,0,0
txn_000305,merch_0097,netbanking,1711.58,14,43,1389.04,0.2545,0,0
txn_000306,merch_0065,netbanking,7650.87,11,21,5846.97,0.0894,0,0
txn_000307,merch_0078,upi,1289.55,16,25,1131.04,0.3417,0,0
txn_000308,merch_0161,upi,5180.72,17,16,2848.82,0.1312,0,0
txn_000309,merch_0163,upi,381.44,20,21,378.17,0.3568,0,0
txn_000310,merch_0005,upi,736.39,10,22,873.36,0.1776,0,0
txn_000311,merch_0038,netbanking,95.72,11,178,194.38,0.1123,0,1
txn_000312,merch_0169,card,287.2,0,16,473.32,0.145,0,0
txn_000313,merch_0114,upi,338.73,19,27,828.02,0.0316,1,0
txn_000314,merch_0185,upi,2901.21,11,18,2547.22,0.0999,1,0
txn_000315,merch_0124,upi,1869.53,10,28,2206.78,0.1862,0,0
txn_000316,merch_0011,card,747.61,4,8,569.61,0.0019,0,0
txn_000317,merch_0130,upi,50.36,10,21,193.21,0.0699,0,0
txn_000318,merch_0017,wallet,1167.37,20,26,1359.18,0.9322,0,0
txn_000319,merch_0039,netbanking,863.16,18,18,1335.83,0.2882,0,0
txn_000320,merch_0020,upi,11894.22,15,28,5656.86,0.271,0,0
txn_000321,merch_0142,card,144.42,23,13,152.64,0.1239,1,0
txn_000322,merch_0098,wallet,1070.87,11,29,972.28,0.0138,0,0
txn_000323,merch_0025,card,1209.23,3,30,1207.18,0.068,0,0
txn_000324,merch_0007,upi,4418.63,0,133,2501.36,0.1384,0,0
txn_000325,merch_0099,upi,175.68,12,42,840.92,0.0476,1,0
txn_000326,merch_0086,netbanking,3216.59,12,20,2807.85,0.0041,1,0
txn_000327,merch_0041,card,335.92,16,21,1349.47,0.3813,1,0
txn_000328,merch_0171,card,10.0,10,23,385.15,0.2764,0,0
txn_000329,merch_0013,netbanking,80.85,12,13,104.48,0.0329,0,0
txn_000330,merch_0077,wallet,929.37,13,30,732.61,0.1603,0,0
txn_000331,merch_0001,wallet,572.54,17,20,971.54,0.1069,0,0
txn_000332,merch_0118,upi,4946.72,4,18,4655.83,0.938,1,1
txn_000333,merch_0036,card,1495.29,17,31,1337.02,0.2508,0,0
txn_000334,merch_0068,netbanking,1599.36,10,17,1908.29,0.0498,0,0
txn_000335,merch_0165,netbanking,2858.77,15,25,1932.57,0.0766,1,0
txn_000336,merch_0040,card,2096.47,11,35,2583.47,0.0626,0,0
txn_000337,merch_0061,upi,1007.64,7,39,771.72,0.133,1,0
txn_000338,merch_0059,netbanking,1558.21,14,20,3599.66,0.8987,0,0
txn_000339,merch_0124,card,2345.51,16,32,2293.4,0.0789,0,0
txn_000340,merch_0110,upi,98.7,15,15,97.7,0.1217,0,0
txn_000341,merch_0013,card,62.82,14,20,122.05,0.1506,0,0
txn_000342,merch_0083,upi,703.24,12,23,567.85,0.0662,0,0
txn_000343,merch_0129,upi,435.69,23,17,536.84,0.3199,0,0
txn_000344,merch_0069,upi,986.23,13,18,508.82,0.0238,0,0
txn_000345,merch_0144,upi,10.0,0,21,1462.93,0.2926,0,0
txn_000346,merch_0122,card,6527.12,13,11,6155.59,0.0988,1,0
txn_000347,merch_0088,card,594.64,18,9,523.69,0.3567,0,0
txn_000348,merch_0027,card,1513.2,21,25,1473.83,0.0588,0,0
txn_000349,merch_0065,netbanking,4276.26,1,16,5543.61,0.2606,0,0
txn_000350,merch_0162,upi,4573.05,14,15,3951.27,0.1115,0,0
txn_000351,merch_0004,upi,1168.02,14,24,742.66,0.2935,1,0
txn_000352,merch_0192,netbanking,210.49,20,32,1493.55,0.1223,1,0
txn_000353,merch_0167,upi,7043.0,16,27,9907.33,0.1893,0,0
txn_000354,merch_0183,wallet,991.31,15,38,2156.17,0.0805,0,0
txn_000355,merch_0163,netbanking,165.61,15,14,411.41,0.3022,0,0
txn_000356,merch_0044,card,220.56,10,22,192.04,0.0576,0,0
txn_000357,merch_0150,wallet,1956.69,11,18,1401.59,0.2262,0,0
txn_000358,merch_0046,upi,972.13,18,17,578.68,0.2392,0,0
txn_000359,merch_0030,upi,706.7,11,38,478.2,0.1238,1,0
txn_000360,merch_0138,card,3977.22,15,15,3091.75,0.1802,1,0
txn_000361,merch_0009,upi,788.23,2,32,2222.21,0.1193,0,0
txn_000362,merch_0194,wallet,2322.43,17,15,1346.98,0.1318,0,0
txn_000363,merch_0117,upi,241.26,18,28,292.54,0.0747,0,0
txn_000364,merch_0013,card,151.96,10,18,120.42,0.0533,0,0
txn_000365,merch_0079,card,46.15,20,12,99.23,0.3981,0,0
txn_000366,merch_0092,card,405.94,17,25,493.68,0.1885,0,0
txn_000367,merch_0009,upi,2981.03,12,30,2362.88,0.0554,0,0
txn_000368,merch_0075,upi,2982.13,10,22,2571.14,0.1577,0,0
txn_000369,merch_0093,netbanking,438.99,22,33,631.79,0.1916,0,0
txn_000370,merch_0104,upi,1408.37,13,25,896.44,0.0461,0,0
txn_000371,merch_0000,netbanking,1232.97,21,34,1889.86,0.1288,1,0
txn_000372,merch_0132,card,303.49,15,30,268.53,0.0774,0,0
