transaction_id,merchant_id,payment_method,amount_inr,hour_of_day,merchant_txn_count_7d,merchant_avg_amount_7d,device_risk_score,is_new_merchant,is_fraud,predicted_prob,predicted_label,actual_label,error_type
txn_006140,merch_0196,upi,234.97,15,258,347.45,0.0956,0,0,0.96482664,1,0,false_positive
txn_007354,merch_0095,card,127.02,12,21,217.44,0.9147,1,1,0.045842927,0,1,false_negative
txn_002377,merch_0053,upi,2078.82,14,16,2002.46,0.1768,0,1,0.18223555,0,1,false_negative
txn_007170,merch_0160,wallet,184.25,14,17,378.43,0.0479,0,1,0.014352327,0,1,false_negative
txn_001538,merch_0161,upi,6143.36,9,9,2562.85,0.109,0,1,0.26108664,0,1,false_negative
txn_004969,merch_0199,upi,298.2,12,34,314.29,0.0692,0,0,0.5775567,1,0,false_positive
txn_004108,merch_0111,upi,1500.97,19,21,947.36,0.2448,0,1,0.032765765,0,1,false_negative
txn_001778,merch_0175,upi,3623.76,2,18,2608.13,0.1805,0,1,0.057760697,0,1,false_negative
txn_003217,merch_0152,upi,604.11,3,171,477.65,0.0304,0,0,0.7942747,1,0,false_positive
txn_000259,merch_0118,upi,4872.75,15,19,4888.83,0.2047,1,1,0.039211065,0,1,false_negative
